MATRÍCULA ESTABLECIMIENTO,NOMBRE ESTABLECIMIENTO,DIRECCIÓN,MUNICIPIO,TELÉFONO ESTABLECIMIENTO 1,TELÉFONO ESTABLECIMIENTO 2,TELÉFONO ESTABLECIMIENTO 3,EMAIL ESTABLECIMIENTO,CÓDIGO CIIU 1,DESCRIPCION CÓDIGO CIIU 1,CÓDIGO CIIU 2,DESCRIPCION CÓDIGO CIIU 2,CÓDIGO CIIU 3,DESCRIPCION CÓDIGO CIIU 3,CÓDIGO CIIU 4,DESCRIPCION CÓDIGO CIIU 4,MATRICULA MERCANTIL / NRO ESAL DEL PROPIETARIO,NOMBRE / RAZÓN SOCIAL PROPIETARIO,REPRESENTANTE LEGAL
717588-2,HOSPEDAJE TOBIAS,CALLE 10 19 43,SANTAFE DE ANTIOQUIA,3002029180.0,3007026404.0,,lina_silvaz@hotmail.com,5519,Otros tipos de alojamiento para visitantes,5613.0,Expendio de comidas preparadas en cafeterías,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,690917-1,BRAND MORALES VICTOR ALFONSO,
717082-2,HOSPEDAJE MERAKI,CALLE 6 3 17,JARDIN,3218712092.0,,,jopica43@hotmail.com;hospedajemerakijardin@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,690306-1,PIEDRAHITA CASTAÑEDA JOSE ORLANDO,
708203-2,GLAMPING DEL OCCIDENTE,KILOMETRO 99 LA GARCIA,SANTAFE DE ANTIOQUIA,3206419173.0,3127491289.0,3507538309.0,bautista.cor@hotmail.com,1630,"Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción",150.0,Explotación mixta (agrícola y pecuaria),210.0,Silvicultura y otras actividades forestales,5514.0,Alojamiento rural,679369-12,ETELVINA S.A.S,JOHANNY ALBERTO BAUTISTA MALDONADO
708507-2,OASIS MY TIME,CARRERA 9 11 10,SOPETRAN,3006608617.0,,,mytimesas@gmail.com,5514,Alojamiento rural,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,,,671209-12,INVERSIONES MY TIME SOCIEDAD POR ACCIONES SIMPLIFICADA,LUZ INDELY MEJÍA BERRÍO
736810-2,HOSPEDAJE LA UNIÓN ,CARRERA 45 NO. 59 58,MEDELLÍN,6043290650.0,3125242141.0,,viviendacompartida2022@hotmail.com,5512,Alojamiento en apartahoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,,,713653-12,VIVIENDA COMPARTIDA S.A.S,JHON FREDYS GARCIA MONTOYA
736950-2,CASA MOSAIKO,CARRERA 43 A 7 D 58 INT 201,MEDELLÍN,3128737.0,,,diego@mosaikostudio.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,712932-12,MOSAIKO STUDIO S.A.S,DIEGO FELIPE OSORIO FLORIAN
752075-2,RANCHO LA MALOKA ,DIAGONAL 28 6 A 286,SAN JERÓNIMO,3206330482.0,,,posadasansebastian@gmail.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,348572-12,INVERSIONES POSADA SAN SEBASTIAN S.A.S.,MARILUZ MARQUEZ ZAPATA
771303-2,"LUCCA 1605
",DIAGONAL 29 D NO. 9 SUR 110 APTO 1605,MEDELLÍN,6045833582.0,,,camposandra@yahoo.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,682682-12,IN HOUSE REAL ESTATE S.A.S.,SANDRA PATRICIA CAMPO VELASQUEZ
707726-2,GLAMPING PIGMALION,"CORREGIMIENTO SANTA ELENA, VEREDA EL ROSARIO",MEDELLÍN,3127787049.0,3128717219.0,3127787049.0,ivaom81@gmail.com,5519,Otros tipos de alojamiento para visitantes,5629.0,Actividades de otros servicios de comidas,,,,,678782-1,GUARIN TEJADA OLGA LUCIA,
709083-2,FINCA DE RECREO GRIMAR,FINCA GRIMAR VEREDA LOS PINOS,BARBOSA,3016400315.0,,,fincagrimar@yahoo.com,5514,Alojamiento rural,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,,,680378-1,MARIN VERGARA JOHNSON DE JESUS,
740221-2,MONTECAFE JARDIN,VEREDA EL TAPADO PARTE ALTA,JARDIN,3012524694.0,,,johanlopez90@hotmail.com,5514,Alojamiento rural,7912.0,Actividades de operadores turísticos,,,,,717944-1,LOPEZ ACEVEDO JOHAN LEANDRO,
740272-2,ENERGY SUITE APTO 1601,CARRERA 30 10 225 APTO 1601,MEDELLÍN,3012319235.0,,,roger2973@aol.com,5512,Alojamiento en apartahoteles,,,,,,,713643-1,ROMERO ROGER MICHAEL,
771199-2,MUUK BOUTIQUE HOTEL ,CARRERA 43 2 SUR 72,MEDELLÍN,3046129277.0,,,muukboutiquehotel@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,755988-12,COMMUNITY MUUK S.A.S.,ELIZABETH RUA TRILLOS
771300-2,"ART LIVING 1002
",CALLE 12 NO. 40 A 95 APTO 1002,MEDELLÍN,6045833582.0,,,camposandra@yahoo.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,682682-12,IN HOUSE REAL ESTATE S.A.S.,SANDRA PATRICIA CAMPO VELASQUEZ
722080-2,CHICKEN AND CHIPS,CALLE 64 39 A 24,BELLO,3044627009.0,,,andrespho@hotmail.com,4631,Comercio al por mayor de productos alimenticios,5519.0,Otros tipos de alojamiento para visitantes,,,,,696398-1,OSORIO MUÑOZ CARLOS ANDRES,
718583-2,ECO-HOTEL NIGUITO SANTA ELENA S.A.S.,VIA LAS TORRES KM 02 87 CR 38 ESTE 73 85 (!) LA PATIÑO VDA,MEDELLÍN,3234782825.0,4796512.0,,niguitosantaelena@gmail.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,5621.0,Catering para eventos,692078-12,ECO-HOTEL NIGUITO SANTA ELENA S.A.S,LOTHAR EDWAR SANCHEZ LOZANO
771697-2,SANCTUARY FLAT,CARRERA 72 C NO. 3 32,MEDELLÍN,3145168875.0,,,sanctuarysuitessas@gmail.com,5512,Alojamiento en apartahoteles,,,,,,,756557-12,SANCTUARY SUITES S.A.S,KEENAN LEE ANTHONY MCNEILL
752713-2,CASA LIMBA,VEREDA ALVARADO,COPACABANA,3147621970.0,,,mariajimenaortizflorez@gmail.com,5514,Alojamiento rural,5519.0,Otros tipos de alojamiento para visitantes,,,,,733089-1,ORTIZ FLOREZ MARIA JIMENA,
709300-2,GRUPO MILLA DE ORO S.A.S.,CALLE 7 D 43 A 40,MEDELLÍN,3193525795.0,,,estudiosycontroles@gmail.com;inversionesmilladeoro@gmail.com,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,5519.0,Otros tipos de alojamiento para visitantes,5514.0,Alojamiento rural,7990.0,Otros servicios de reserva y actividades relacionadas,680636-12,GRUPO MILLA DE ORO S.A.S.,SERGIO ALBERTO HORTA LONDOÑO
752653-2,APARTAHOTEL M&P,CARRERA 89 92 C 64,MEDELLÍN,3146327082.0,3107844064.0,,wmmlancero@hotmail.com,5512,Alojamiento en apartahoteles,,,,,,,733015-1,MENDEZ MARTINEZ WENCESLAO ,
712700-2,HOTEL PRESTIGE,CALLE 44 A 70 40 NT 200,MEDELLÍN,3105072108.0,3194288738.0,5944503.0,hotelprestigemedellin@gmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,,,749375-12,HOTEL PRESTIGE MEDELLIN S.A.S.,KEVIN DAVID GIRALDO SOTO
722329-2,HOTEL LA CORDIALIDAD 1,CARRERA 50 53 15,GÓMEZ PLATA,3108258385.0,,,PATIAQUINTANA43@GMAIL.COM,5511,Alojamiento en hoteles,,,,,,,696712-1,QUINTANA CLAUDIA PATRICIA,
740485-2,AMOBLADOS LIVING HOME,CALLE 36 91 21 ED SANTA MONICA REAL,MEDELLÍN,3012850312.0,,,linamariasp10@gmail.com,5512,Alojamiento en apartahoteles,,,,,,,718242-1,SALDARRIAGA PADIERNA LINA MARIA,
718294-2,RESIDENCIAS EL REFUGIO ,Carrera 64 C No. 75 52,MEDELLÍN,3216227167.0,5878122.0,,joseespinosa1209@hotmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,691716-1,CARO BEDOYA BEATRIZ ELENA,
752836-2,BLUX APARTAMENTOS AMOBLADOS 502,CALLE 12 30 126 APTO 502,MEDELLÍN,4801200.0,3113243704.0,,ana@casacol.co,5512,Alojamiento en apartahoteles,5519.0,Otros tipos de alojamiento para visitantes,,,,,477334-12,PROPIEDAD RAIZ CASACOL S.A.S.,BRADLEY H. HINKELMAN
712927-2,CASA NOMADA MED,CARRERA 34 NO. 41 14,MEDELLÍN,3174194285.0,,,cristian.med1152@gmail.com,5511,Alojamiento en hoteles,5519.0,Otros tipos de alojamiento para visitantes,4724.0,"Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados",,,685043-1,ALVAREZ GIRALDO CRISTIAN DAVID,
740439-2,AGENTE INMOBILIARIO S.A.S.,CARRERA 84 B 4 G 75 APTO 1622,MEDELLÍN,3104384470.0,3225367517.0,5789006.0,agenteinmobiliariosas@gmail.com,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,6820.0,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5519.0,Otros tipos de alojamiento para visitantes,,,718190-12,AGENTE INMOBILIARIO S.A.S.,MARIA MERCEDES VARGAS CARTAGENA
723295-2,HOSPEDAJE JAVI LA 61,Calle 59 49 32,MEDELLÍN,3012798764.0,,,jhongredymaflamarin@gmail.com,5519,Otros tipos de alojamiento para visitantes,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,,,697844-1,MAFLA RODAS YHON FREDY,
723304-2,HOTEL LA VILLA SANTA FE DE ANTIOQUIA,CALLE 10 4 62,SANTAFE DE ANTIOQUIA,3043626693.0,3217648572.0,,apartahotellavillasantafe@gmail.com,5511,Alojamiento en hoteles,,,,,,,697856-1,ECHAVARRIA RESTREPO JOHAN ALEXI,
713236-2,CASA BIXA HOTEL BOUTIQUE,CALLE 9 6 37,SANTAFE DE ANTIOQUIA,6046041521.0,3128500776.0,3104983662.0,gerencia@estiloejecutivo.com;rtascontable@gmail.com;juanita@estiloejecutivo.com,5511,Alojamiento en hoteles,6820.0,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,4651.0,"Comercio al por mayor de computadores, equipo periférico y programas de informática",5611.0,Expendio a la mesa de comidas preparadas,602715-12,HOTELES MEMORABLES DE COLOMBIA S.A.S.,JUAN CARLOS TIRADO JARAMILLO
712896-2,NATURALEZA AGROTURISMO Y AVENTURA,VEREDA LA HERRADURA,BARBOSA,3024276519.0,,,cafeyagro2020@gmail.com,7912,Actividades de operadores turísticos,7911.0,Actividades de las agencias de viaje,5514.0,Alojamiento rural,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",685015-1,FLOREZ OSPINA NORA ELENA,
771719-2,HOTEL PARQUE POBLADO,CARRERA 43 B NO. 9 25,MEDELLÍN,3116260245.0,,,jajg@me.com,5511,Alojamiento en hoteles,,,,,,,756586-12,HOTEL PARQUE POBLADO S A S,JAVIER ALEXANDER JIMENEZ GUARIN
771811-2,HOTEL CALAMARU LA PINTADA,AV 30 30 A 12,LA PINTADA,3192668723.0,,,inversioneslapintada@hotmail.com,5511,Alojamiento en hoteles,,,,,,,701625-1,PATIÑO CORREA KELLY NATALIA,
771855-2,ESTADERO Y HOTEL EL ROCIO L Y N,CORREGIMIENTO LLANOS DE CUIVA SECTOR EL ROCIO,ANGOSTURA,3104306276.0,,,maria202gomez2021@gmail.com,5611,Expendio a la mesa de comidas preparadas,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,5613.0,Expendio de comidas preparadas en cafeterías,5511.0,Alojamiento en hoteles,756759-1,GOMEZ LUJAN MARIA ELIVENER,
723629-2,FINCA DE RECREO LA ESPERANZA,VEREDA LA ESTRELLA,CAÑASGORDAS,3148896365.0,,,fincalaezperanzacanasgordas@gmail.com,9329,Otras actividades recreativas y de esparcimiento n.c.p.,4620.0,"Comercio al por mayor de materias primas agropecuarias, animales vivos",5514.0,Alojamiento rural,,,698282-1,OSPINA TAMAYO JUAN ESTEBAN,
709386-2,HOTEL SOBERANO,CALLE 53 50 A 08,MEDELLÍN,6044755947.0,3104654784.0,3138391862.0,felipeochoac@yahoo.com;hotelsoberano@gmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,680750-1,OCHOA CORREA MAURICIO ,
709464-2,FINCA EL AVISPERO,VEREDA EL ESPINAL,SANTAFE DE ANTIOQUIA,3147987571.0,,,manuela.caro122@gmail.com,5514,Alojamiento rural,,,,,,,680846-1,CARO PENAGOS MANUELA ,
720808-2,"JARDIN DE LAURELES MEDELLIN
",CALLE 32 EE NO. 76 139,MEDELLÍN,3185114620.0,,,inversionescorporativas1100@gmail.com,5590,Otros tipos de alojamiento n.c.p.,5519.0,Otros tipos de alojamiento para visitantes,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4771.0,Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,694796-1,FREYTES TORRES NESTOR ANDRES,
720718-2,ESMED HOSTEL,CALLE 80 53 A 66,MEDELLÍN,3006305426.0,,,dorotycelis@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,694675-1,CELIS CARO ANGELA MARIA,
740478-2,LAMBERTON PROPIEDADES COLOMBIA,CALLE 13 NO. 36 A 156 APTO 1701,MEDELLÍN,3103435893.0,3013664065.0,,dclegalbusinessgroup@gmail.com,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,6820.0,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5519.0,Otros tipos de alojamiento para visitantes,,,718235-12,EMPRESAS LAMBERTON COLOMBIA S.A.S.,RORY DAVID LAMBERTON
713777-2,A.S INTERNATIONAL TRAVEL S.A.S,CARRERA 86 34 118 APT 302,MEDELLÍN,3222700550.0,,,aandres321@hotmail.com,7911,Actividades de las agencias de viaje,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,5511.0,Alojamiento en hoteles,5512.0,Alojamiento en apartahoteles,670116-12,AS INTERNATIONAL TRAVEL S.A.S,ANDRES ALIRIO GUAVITA MUÑOZ
723659-2,INTERNATIONAL HOSTEL MEDELLIN,CALLE 14 43 F 49,MEDELLÍN,6073969.0,3054841033.0,,interhostelmedgerencia@gmail.com,5519,Otros tipos de alojamiento para visitantes,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",4774.0,Comercio al por menor de otros productos nuevos en establecimientos especializados,,,698317-12,INTERNATIONAL HOSTEL MEDELLIN SAS,JORGE ENRIQUE BARRERA MONTOYA
724123-2,HOTEL ALTO BONITO - SAN JERÓNIMO,VEREDA PANTANILLO,SAN JERÓNIMO,3107280017.0,,,altobonito2021@gmail.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,9329.0,Otras actividades recreativas y de esparcimiento n.c.p.,698883-1,ARIAS RAMIREZ JUAN CAMILO,
752874-2,D ANGEL & CO S.A.S.,CARRERA 29 E 131 INT 504,MEDELLÍN,3178008333.0,3003059479.0,3003059518.0,dangel.co2022@gmail.com,5514,Alojamiento rural,,,,,,,733270-12,D ANGEL & CO S.A.S.,DARIO ALONSO ARBOLEDA BARRIOS
752875-2,EL TAITA NORTE S.A.S.,Carrera 29 E # 4 Sur 131 Interior 504,MEDELLÍN,3003059479.0,3178008333.0,,eltayta2022@gmail.com,5514,Alojamiento rural,,,,,,,733271-12,EL TAITA NORTE S.A.S.,MARIA ADELAIDA ARBOLEDA BARRIOS
724188-2,EL QUIJOTE HOTEL S.A.S,VIA VALPARAISO DESPUES DEL PARQUE EDUCATIVO,LA PINTADA,3117484819.0,,,quijotefincahotel@gmail.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,,,,,698960-12,EL QUIJOTE FINCA HOTEL S.A.S,BEATRIZ ELENA ZAPATA PEREZ
771880-2,EPIC INVERSIONES TURISTICAS,CARRERA 73 NO. 27 50,MEDELLÍN,3173643019.0,,,linaa5375@gmail.com,7912,Actividades de operadores turísticos,5512.0,Alojamiento en apartahoteles,5519.0,Otros tipos de alojamiento para visitantes,7990.0,Otros servicios de reserva y actividades relacionadas,756799-12,INVERSIONES TURISTICAS EPIC S.A.S,CARLOS HUMBERTO MANRIQUE PEÑA
740768-2,HOSPEDAJE RURAL LA BOIRA,HACIENDA 2 CASA 3 DIAGONAL BALANDU,JARDIN,3016489999.0,,,hospedajerural.laboira@gmail.com,5514,Alojamiento rural,,,,,,,718559-1,ENRIQUEZ CHAVES MARIA SOLANGE,
771844-2,HOTEL BOUTIQUE OBELISCO,CARRERA 74 NO. 48 37,MEDELLÍN,3148132324.0,,,hotelobeliscosas@hotmail.com,5511,Alojamiento en hoteles,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,,,756745-12,HOTEL BOUTIQUE OBELISCO SAS,JULIANA HERNANDEZ SEPULVEDA
713948-2,DON GALI,CARRERA 92 35 A 66 APTO 301,MEDELLÍN,5806041.0,3044575882.0,,jarroyavelopez23@gmail.com,4791,Comercio al por menor realizado a través de internet,6920.0,"Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",5519.0,Otros tipos de alojamiento para visitantes,,,686408-1,ARROYAVE LOPEZ JUAN SEBASTIAN,
713946-2,HOTEL SOL DEL ESTADIO,CALLE 49 B 67 B 30,MEDELLÍN,2304923.0,3208708644.0,,gerencia.megasoluciones@gmail.com,5511,Alojamiento en hoteles,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",9007.0,Actividades de espectáculos musicales en vivo,,,596231-1,LOPEZ MAESTRE CARLOS ALBERTO,
772197-2,HOTEL CALYPXO,CALLE 56 50 9,MEDELLÍN,3155589599.0,,,hotelcalypxo@gmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,413299-1,ZAPATA CARRASQUILLA DIEGO MAURICIO,
740856-2,LA QUINTA INMOBILIARIA S.A.S.,CARRERA 10 10 43,VALPARAISO,3155839661.0,3014584233.0,,la5inmobiliaria@gmail.com,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,6820.0,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5511.0,Alojamiento en hoteles,5512.0,Alojamiento en apartahoteles,718651-12,LA QUINTA INMOBILIARIA S.A.S.,JENNYFER RENDON MARULANDA
714523-2,VIAJES Y TURISMO MAP ,Carrera 75 B No. 96 68,MEDELLÍN,3213032883.0,4740809.0,,andresoto1977@gmail.com,5513,Alojamiento en centros vacacionales,,,,,,,687170-1,SOTO OROZCO ELKIN ANDRES,
714348-2,3450 LIVING APTO 203,CARRERA 66 AA 34 50 APTO 203,MEDELLÍN,3113155732.0,,,aestrada@gutierrezgroup.com.co,5519,Otros tipos de alojamiento para visitantes,5590.0,Otros tipos de alojamiento n.c.p.,,,,,576910-12,PARADISE VALLEY S.A.S.,ANA MARÍA ESTRADA SÁNCHEZ
741206-2,INVERSIONES REYES & ASOCIADOS,CARRERA 44 10 SUR 4,MEDELLÍN,3012412492.0,,,fabianr_20@hotmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,719060-1,REYES GIRALDO WALTER FABIAN,
713557-2,HOTEL MED LA PALMA,CALLE 30 80 03,MEDELLÍN,3104277361.0,5885278.0,,gerencia.megasoluciones@gmail.com,5511,Alojamiento en hoteles,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",9007.0,Actividades de espectáculos musicales en vivo,,,596231-1,LOPEZ MAESTRE CARLOS ALBERTO,
752922-2,IN FOCUS ESTUDIO BALCON,CARRERA 43 F 11 81 INT 202,MEDELLÍN,3016618967.0,3007801390.0,3148756972.0,mariofox@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,733317-12,IN FOCUS OP S.A.S.,MARIO ALEJANDRO ARISTIZABAL ALZATE
725143-2,APARTA - OFICINA DELUXE ,CALLE 10 A 34 11 INT 4015,MEDELLÍN,4446446.0,3117622567.0,3108993960.0,olga@deluxetravel.com.co,5519,Otros tipos de alojamiento para visitantes,,,,,,,391393-12,DELUXE TRAVEL SAS,OLGA VICTORIA COCK RADA
741105-2,STAR GROUP INMOBILIARIA S.A.S.,CALLE 32 75 49,MEDELLÍN,3043722199.0,,,stargroupinmobiliaria@gmail.com,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5519.0,Otros tipos de alojamiento para visitantes,,,,,718941-12,STAR GROUP INMOBILIARIA S.A.S.,JUAN DAVID NARANJO ECHEVERRY
741287-2,MOMMY'S CART,CALLE 46 47 53,BELLO,3108455863.0,,,julianaperezv@gmail.com,5519,Otros tipos de alojamiento para visitantes,4791.0,Comercio al por menor realizado a través de internet,,,,,719145-1,PEREZ VILLA JULIANA ,
725811-2,DILOP D-PASEO,CALLE 48 48 64,COPACABANA,3113250544.0,,,diegolopera170@gmail.com,7911,Actividades de las agencias de viaje,4921.0,Transporte de pasajeros,5513.0,Alojamiento en centros vacacionales,5512.0,Alojamiento en apartahoteles,700768-12,DILOP D-PASEO S.A.S.,DIEGO ALEJANDRO LOPERA CADAVID
725996-2,CONDOMINIO EL PALMAR,CONDOMINIO EL PALMAR,BARBOSA,3137915364.0,,,angelalopezortiz@hotmail.com,5514,Alojamiento rural,,,,,,,701001-1,TABORDA MAYA LUIS MARIANO,
725748-2,LA SUITE DE DALIS,CARRERA 3 8 42,JARDIN,3103964527.0,3108944891.0,,dalisceballos@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,700714-1,CEBALLOS GOMEZ DALIS MARGARITA,
724953-2,PALMA REAL CASA DE CAMPO,"TRONCAL DE OCCIDENTE VIA LA COSTA, RECINTOS DE LA FRUTERA",CAUCASIA,3137709477.0,3113100112.0,,palmarealcorp@gmail.com,5514,Alojamiento rural,5621.0,Catering para eventos,8230.0,Organización de convenciones y eventos comerciales,,,699823-1,RAMOS HERRERA LINA MARCELA,
724967-2,"JERI GUEST HOUSE
",CALLE 13 43 D 50,MEDELLÍN,4254137.0,3155929685.0,,carlos.ccastaneda@gmail.com,5519,Otros tipos de alojamiento para visitantes,5511.0,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,699839-1,CASTAÑEDA MORALES CARLOS ANDRES,
714848-2,FINCA PARAISO 1,KM 7 VEREDA SAN JOSE,URRAO,3113102004.0,,,mariosepulveda72@gmail.com,5514,Alojamiento rural,9319.0,Otras actividades deportivas,,,,,747166-1,GARCIA GUERRERO LUISA MARIA,
725144-2,CASA COMPARTIDA SARA,CALLE 56 50 41,MEDELLÍN,3227209458.0,,,naomihospedaje@gmail.com,5590,Otros tipos de alojamiento n.c.p.,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",4724.0,"Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados",700039-1,PATERNINA RICARDO YORLEDYS ,
728501-2,HOTEL BELUXIA SUITE ,CALLE 55 50 113,MEDELLÍN,3172130867.0,,,hotelbeluxiasuite@gmail.com,5511,Alojamiento en hoteles,,,,,,,515546-1,CASTRO SOTO EDIXON ANDRES,
772347-2,WHITE 1102,CARRERA 39 NO. 13 SUR 28 APTO 1102,MEDELLÍN,6045833582.0,,,camposandra@yahoo.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,682682-12,IN HOUSE REAL ESTATE S.A.S.,SANDRA PATRICIA CAMPO VELASQUEZ
714342-2,3450 LIVING APTO 303,CARRERA 66 AA 34 50 APTO 303,MEDELLÍN,3113155732.0,,,aestrada@gutierrezgroup.com.co,5519,Otros tipos de alojamiento para visitantes,5590.0,Otros tipos de alojamiento n.c.p.,,,,,576910-12,PARADISE VALLEY S.A.S.,ANA MARÍA ESTRADA SÁNCHEZ
714351-2,3450 LIVING APTO 403,CARRERA 66 A 34 50 APTO 403,MEDELLÍN,3113155732.0,,,aestrada@gutierrezgroup.com.co,5519,Otros tipos de alojamiento para visitantes,5590.0,Otros tipos de alojamiento n.c.p.,,,,,576910-12,PARADISE VALLEY S.A.S.,ANA MARÍA ESTRADA SÁNCHEZ
741357-2,FLAMENCO HOME S.A.S.,Carrera 14 No. 8 42,MEDELLÍN,3113643225.0,,,juanfranco.arq@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,719227-12,FLAMENCO HOME S.A.S.,JUAN MANUEL FRANCO TOBON
726296-2,LUIS FERNANDO DE JESUS RAVE OROZCO,CARRERA 10 12 125,SANTA BARBARA,3187467817.0,3187467817.0,,contamis@gmail.com,5511,Alojamiento en hoteles,,,,,,,701359-1,RAVE OROZCO LUIS FERNANDO DE JESUS,
718895-2,EL DESCANSO SANTA FE,CALLE 13 7 134 P 2,SANTAFE DE ANTIOQUIA,3205194387.0,,,waltergrisales76@hotmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,692458-1,GRISALES FLOREZ GILMA ELENA,
715339-2,BLUX APARTAMENTOS AMOBLADOS - 705,CALLE 12 30 126,MEDELLÍN,4801200.0,3145118310.0,,ana@casacol.co,5512,Alojamiento en apartahoteles,5519.0,Otros tipos de alojamiento para visitantes,,,,,477334-12,PROPIEDAD RAIZ CASACOL S.A.S.,BRADLEY H. HINKELMAN
715147-2,CERRO VERDE,CARRERA 45 N 26162 BELLO,BELLO,3147067845.0,,,paotriunfo@gmail.com,5511,Alojamiento en hoteles,5512.0,Alojamiento en apartahoteles,5514.0,Alojamiento rural,,,687937-1,AGUIRRE JARAMILLO PAOLA ANDREA,
775630-2,GLORIA DE LA ETERNA PRIMAVERA,CALLE 36 52 04 BELLO SAN JOSE OBRERO,BELLO,3108125319.0,,,psicologia.zapatat@gmail.com,5519,Otros tipos de alojamiento para visitantes,7912.0,Actividades de operadores turísticos,,,,,761364-1,ZAPATA TORRES GLORIA PATRICIA,
726182-2,"GRANJA DEL CAFE
",GRANJA ESTEBAN JARAMILLO,VENECIA,3148114482.0,,,luis.toro@gruposuites.com,5514,Alojamiento rural,,,,,,,355644-12,GRUPO SUITES S.A.S.,MARTHA LUZ MAYA LONDOÑO
726678-2,APARTAMENTO 102 EDIFICIO PAZ,CARRERA 36 10 A 07,MEDELLÍN,3046520060.0,,,inversioneshenaog@gmail.com,5519,Otros tipos de alojamiento para visitantes,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,,,688587-12,INVERSIONES HENAO GUERRA S.A.S,PABLO HENAO NAVAS
